ChangeType,branch_code,FieldName,OldValue,NewValue
Added,05741,,,"{""name"": ""KOLHAR (VIJAYAPURA)"", ""branch_code"": ""05741"", ""address"": {""line1"": ""H NO: 93.D, 2ND FLOOR, HARANATTI COMPLEX"", ""line2"": ""SWAMI VIVEKANANAD CIRCLE ROAD"", ""line3"": ""NEAR POLICE STATION"", ""city"
Added,05742,,,"{""name"": ""JOGIPURA"", ""branch_code"": ""05742"", ""address"": {""line1"": ""SISODIYA HOUSE-04"", ""line2"": ""NH-52"", ""line3"": ""BEHIND MAHAKALI KIRANA STORE"", ""city"": ""JOGIPURA"", ""pincode"": ""465661""}, ""email"": """","
Added,05736,,,"{""name"": ""GHAZIABAD PRATAP VIHAR"", ""branch_code"": ""05736"", ""address"": {""line1"": ""H NO: 182, BLOCK-H, STREET NO-1"", ""line2"": ""BESIDE DAY TO DAY SHOPPING COMPLEX"", ""line3"": ""SECTOR-12, PRATAP VIHAR"", ""c"
Added,05739,,,"{""name"": ""MANJROL"", ""branch_code"": ""05739"", ""address"": {""line1"": ""H NO: 1/47, SADHANA BHAWAN"", ""line2"": ""OM SHANTI KENDRA ROAD"", ""line3"": ""AMALPUR, TAL: SANKHEDA"", ""city"": ""MANJROL"", ""pincode"": ""39111"
Added,05734,,,"{""name"": ""DHOKALIYA"", ""branch_code"": ""05734"", ""address"": {""line1"": ""SHOP NO: 81, B.K.HIGHTS (SHOPING CENTRE"", ""line2"": ""CHHOTA UDAPUR ROAD"", ""line3"": ""NEAR B.K. PETROL PUMP, TAL: BODELI"", ""city"": ""DHO"
Added,05733,,,"{""name"": ""ARYANAGAR"", ""branch_code"": ""05733"", ""address"": {""line1"": ""GATA NO-571"", ""line2"": ""NEAR AUSUTOSH CLINIC"", ""line3"": ""DAYANAND SARASWATI VIDHAYA MANDIR,CHHATAUNI "", ""city"": ""ARYANAGAR"", ""pincod"
Added,05738,,,"{""name"": ""GOSSAIGAON"", ""branch_code"": ""05738"", ""address"": {""line1"": ""H NO: 290, 1ST FLOOR, SIJOU HOTEL"", ""line2"": ""T.P. ROAD, NEAR CLOCK TOWER"", ""line3"": """", ""city"": ""GOSSAIGAON"", ""pincode"": ""783360""}"
Added,05735,,,"{""name"": ""SAIDGORARI"", ""branch_code"": ""05735"", ""address"": {""line1"": ""H NO: 239, BEHIND BAJAJ AGENCY"", ""line2"": ""JAUNPUR SHAHGANJ ROAD"", ""line3"": ""OM SHANTI COLONY, KHETASARAI"", ""city"": ""SAIDGORARI"", """
Added,05740,,,"{""name"": ""SURAT KHOLVAD"", ""branch_code"": ""05740"", ""address"": {""line1"": ""H NO: C-503, 5TH FLOOR, ANGEL CHOWK"", ""line2"": ""LASKANA-KOLVAD ROAD"", ""line3"": ""BANSARI LAXURIA APPARTMENT, TAL: KAMREJ"", ""city"""
Added,05737,,,"{""name"": ""VEDPARSAADA"", ""branch_code"": ""05737"", ""address"": {""line1"": ""H NO: 317"", ""line2"": ""BARCHHA PARA, WARD NO-13"", ""line3"": ""POST: TIKARI, TAL: MASTURI"", ""city"": ""VEDPARSAADA"", ""pincode"": ""495551"""
